Year,본관,5동관,5서관,학생회관,하이테크관,서호관,로스쿨관,정석학술정보관,60주년기념관,5호관
3/1/2017,17212 ,7072 ,313 ,3365 ,30140 ,2336 ,9209 ,33924 ,1764 ,7385 
4/1/2017,14346 ,6189 ,386 ,7146 ,18496 ,5251 ,6091 ,18407 ,2330 ,6575 
5/1/2017,5940 ,923 ,112 ,5589 ,3566 ,4531 ,2534 ,4125 ,1542 ,1035 
6/1/2017,4836 ,1261 ,0 ,4622 ,3314 ,4121 ,326 ,8016 ,1371 ,1261 
7/1/2017,7943 ,6184 ,0 ,3107 ,9505 ,2939 ,2261 ,24356 ,903 ,6184 
8/1/2017,13381 ,17 ,0 ,1654 ,17805 ,1457 ,2555 ,30974 ,919 ,17 
9/1/2017,15227 ,10751 ,0 ,1813 ,27882 ,1855 ,4092 ,36912 ,797 ,10751 
10/1/2017,11171 ,7553 ,0 ,3875 ,11542 ,3840 ,1991 ,23213 ,1253 ,7553 
11/1/2017,4367 ,1523 ,0 ,3361 ,3044 ,3074 ,1205 ,8332 ,1307 ,1523 
12/1/2017,5430 ,1138 ,57 ,3472 ,4832 ,3274 ,780 ,9631 ,1119 ,1195 
1/1/2018,21369 ,10771 ,379 ,5247 ,29820 ,4927 ,8219 ,43438 ,2160 ,11150 
2/1/2018,20366 ,10093 ,487 ,2636 ,45438 ,2870 ,12070 ,54143 ,2203 ,10580 
3/1/2018,16634 ,6462 ,336 ,1728 ,35582 ,2045 ,15694 ,34181 ,1618 ,6798 
4/1/2018,12414 ,3936 ,347 ,5179 ,16218 ,3854 ,6954 ,19446 ,2021 ,4283 
5/1/2018,5311 ,731 ,47 ,5125 ,1997 ,3834 ,1063 ,4681 ,1727 ,778 
6/1/2018,4543 ,483 ,151 ,4877 ,4561 ,3894 ,449 ,8267 ,1349 ,634 
7/1/2018,7244 ,5073 ,143 ,3658 ,11587 ,2832 ,1580 ,25011 ,998 ,5216 
8/1/2018,11399 ,8768 ,449 ,1922 ,18626 ,1478 ,4648 ,32869 ,853 ,9217 
9/1/2018,15420 ,9763 ,322 ,1394 ,25822 ,1200 ,3314 ,44367 ,653 ,10085 
10/1/2018,7791 ,5579 ,0 ,2437 ,10749 ,1666 ,2187 ,21922 ,618 ,5579 
11/1/2018,6253 ,1880 ,0 ,5042 ,5268 ,3986 ,932 ,14417 ,1089 ,1880 
12/1/2018,8245 ,2513 ,307 ,5205 ,8928 ,3944 ,4122 ,13343 ,1554 ,2820 
1/1/2019,15812 ,8990 ,317 ,4337 ,19021 ,3586 ,7077 ,29162 ,1918 ,9307 
2/1/2019,18031 ,8736 ,392 ,2370 ,31121 ,302 ,8289 ,37358 ,2002 ,9128 
3/1/2019,13879 ,4779 ,289 ,2045 ,22772 ,152 ,9083 ,25916 ,1618 ,5068 
4/1/2019,11914 ,4176 ,334 ,5763 ,13089 ,157 ,6260 ,14709 ,2107 ,4510 
5/1/2019,8953 ,2686 ,40 ,5234 ,7404 ,26 ,4507 ,6681 ,1488 ,2726 
6/1/2019,4773 ,976 ,0 ,5114 ,2786 ,0 ,0 ,8260 ,1130 ,976 
7/1/2019,3564 ,10331 ,0 ,4156 ,7323 ,0 ,5085 ,24904 ,904 ,10331 
8/1/2019,10338 ,9205 ,0 ,2006 ,15548 ,0 ,2809 ,24313 ,766 ,9205 
9/1/2019,14283 ,10296 ,0 ,1673 ,18498 ,0 ,3529 ,31741 ,498 ,10296 
10/1/2019,10902 ,10078 ,0 ,3940 ,15803 ,0 ,3441 ,25279 ,677 ,10078 
11/1/2019,5186 ,2656 ,0 ,4105 ,7699 ,10611 ,1664 ,13148 ,751 ,2656 
12/1/2019,8402 ,3183 ,105 ,6254 ,9805 ,2246 ,3151 ,8175 ,1330 ,3288 
1/1/2020,15011 ,10158 ,347 ,5165 ,27057 ,6353 ,7883 ,23382 ,1838 ,10505 
2/1/2020,12836 ,7050 ,313 ,2727 ,27821 ,5300 ,9612 ,18830 ,1677 ,7363 
3/1/2020,12747 ,4848 ,324 ,2958 ,26679 ,7101 ,13930 ,18420 ,1400 ,5172 
4/1/2020,10322 ,6630 ,317 ,2187 ,20438 ,4610 ,9444 ,10346 ,1254 ,6947 
5/1/2020,4486 ,29 ,237 ,2312 ,2516 ,334 ,1167 ,896 ,1145 ,266 
6/1/2020,2925 ,0 ,238 ,1960 ,3226 ,65 ,1488 ,101 ,1022 ,238 
7/1/2020,8776 ,5002 ,20 ,2091 ,12581 ,3131 ,3655 ,16392 ,793 ,5023 
8/1/2020,11067 ,7822 ,0 ,1364 ,14465 ,3144 ,3589 ,16701 ,616 ,7822 
9/1/2020,13543 ,8486 ,0 ,181 ,18348 ,4834 ,2912 ,17554 ,590 ,8486 
10/1/2020,10708 ,5627 ,0 ,226 ,14036 ,3678 ,2013 ,18130 ,635 ,5627 
11/1/2020,3621 ,605 ,0 ,295 ,3426 ,446 ,435 ,1457 ,582 ,605 
12/1/2020,6128 ,1634 ,1027 ,479 ,10052 ,1210 ,2284 ,11156 ,1101 ,2661 
1/1/2021,16512 ,7863 ,292 ,509 ,28274 ,4504 ,6226 ,28686 ,1296 ,8155 
2/1/2021,17552 ,8366 ,17255 ,747 ,28898 ,7632 ,8939 ,28066 ,1395 ,25621 
3/1/2021,13960 ,5709 ,12421 ,699 ,31362 ,5145 ,6161 ,22643 ,1302 ,18131 
4/1/2021,10567 ,3661 ,7535 ,651 ,15717 ,4812 ,4949 ,15846 ,1233 ,11196 
5/1/2021,3500 ,817 ,6058 ,724 ,2311 ,1128 ,1059 ,3038 ,1156 ,6875 
6/1/2021,3491 ,95 ,4756 ,707 ,1875 ,260 ,574 ,977 ,1539 ,4851 
7/1/2021,7158 ,2068 ,3747 ,221 ,9780 ,2355 ,1320 ,16777 ,556 ,5815 
8/1/2021,13142 ,8115 ,2682 ,0 ,18295 ,4348 ,2683 ,27678 ,506 ,10796 
9/1/2021,13234 ,9843 ,3537 ,0 ,20145 ,6537 ,4356 ,28041 ,507 ,13380 
10/1/2021,7358 ,3908 ,3104 ,0 ,13198 ,2835 ,1756 ,17593 ,554 ,7012 
11/1/2021,6710 ,2595 ,4583 ,0 ,5218 ,2506 ,2050 ,6771 ,566 ,7179 
12/1/2021,7413 ,2362 ,6671 ,0 ,12871 ,1797 ,2549 ,12206 ,1081 ,9034 
1/1/2022,13632 ,6666 ,9969 ,0 ,26491 ,6174 ,5960 ,25040 ,1610 ,16635 
2/1/2022,14474 ,7101 ,10092 ,0 ,31460 ,6531 ,8341 ,27808 ,1467 ,17193 
3/1/2022,14311 ,5403 ,7281 ,0 ,28593 ,5640 ,9125 ,26719 ,1298 ,12685 
4/1/2022,10423 ,5022 ,11997 ,1145 ,18342 ,8082 ,5475 ,13058 ,1218 ,17018 
5/1/2022,4276 ,372 ,7586 ,2053 ,1191 ,1134 ,979 ,2391 ,1306 ,7958 
6/1/2022,4387 ,868 ,3109 ,2073 ,4283 ,509 ,214 ,7443 ,650 ,3977 
7/1/2022,7604 ,4499 ,3174 ,1317 ,9408 ,2919 ,1638 ,16959 ,562 ,7673 
8/1/2022,12154 ,8790 ,2009 ,0 ,16383 ,5055 ,2273 ,25104 ,536 ,10798 
9/1/2022,14609 ,10794 ,2137 ,211 ,19500 ,6843 ,3500 ,24532 ,641 ,12931 
10/1/2022,11860 ,7404 ,3074 ,1894 ,15928 ,4090 ,2239 ,20583 ,659 ,10477 
11/1/2022,4266 ,1929 ,4972 ,1700 ,4154 ,1180 ,1177 ,3959 ,513 ,6901 
12/1/2022,4511 ,345 ,5815 ,2110 ,2392 ,120 ,916 ,471 ,881 ,6159 
1/1/2023,15660 ,9457 ,8024 ,1190 ,29554 ,5482 ,5909 ,25393 ,1138 ,17481 
2/1/2023,13479 ,6418 ,8696 ,0 ,34537 ,6149 ,10147 ,22911 ,1816 ,15114 
